Customer_ID,Age,Tenure,Monthly_Charges,Support_Calls,Late_Payments,Contract,Churn
C0001,56,35,2903,2,5,Monthly,0
C0002,69,51,3829,0,5,Monthly,1
C0003,46,15,1088,6,1,Monthly,1
C0004,32,25,2512,4,1,Yearly,0
C0005,60,55,2047,3,5,Monthly,1
C0006,25,37,794,9,3,Monthly,1
C0007,38,28,2485,3,3,Yearly,0
C0008,56,10,3617,3,2,Yearly,0
C0009,36,39,2190,5,4,Monthly,1
C0010,40,57,1636,7,2,Monthly,1
C0011,28,17,2564,7,4,Monthly,1
C0012,28,39,4955,4,1,Monthly,1
C0013,41,22,1507,5,0,Monthly,1
C0014,53,26,3014,3,2,Yearly,0
C0015,57,44,4026,10,2,Monthly,1
C0016,41,25,1747,8,4,Yearly,1
C0017,20,17,4402,7,1,Monthly,1
C0018,39,13,1935,9,1,Monthly,1
C0019,19,20,1071,9,4,Monthly,1
C0020,41,25,2882,0,1,Monthly,0
C0021,61,4,1745,1,5,Yearly,0
C0022,47,10,2584,8,3,Yearly,1
C0023,55,3,777,7,5,Monthly,1
C0024,19,41,2387,2,0,Yearly,0
C0025,38,45,1765,7,2,Yearly,0
C0026,50,18,1540,0,0,Monthly,1
C0027,29,47,1417,9,2,Yearly,1
C0028,39,36,1385,3,3,Monthly,1
C0029,61,47,3252,2,1,Monthly,1
C0030,42,22,521,5,5,Yearly,1
C0031,66,34,3691,6,4,Monthly,1
C0032,44,47,2853,3,5,Monthly,1
C0033,59,8,1186,6,3,Yearly,1
C0034,45,40,784,8,0,Monthly,1
C0035,33,49,4247,10,4,Monthly,1
C0036,32,44,1262,1,1,Yearly,0
C0037,64,19,2928,10,3,Monthly,1
C0038,68,42,3007,2,4,Monthly,1
C0039,61,41,528,4,3,Yearly,0
C0040,69,37,1406,2,3,Monthly,0
C0041,20,6,3604,10,1,Monthly,1
C0042,54,52,4499,7,2,Yearly,1
C0043,68,26,3494,9,4,Yearly,1
C0044,24,34,3006,7,1,Monthly,1
C0045,38,59,4109,7,3,Yearly,1
C0046,26,56,4053,8,1,Yearly,1
C0047,56,59,1953,3,2,Monthly,1
C0048,35,45,3856,4,5,Monthly,1
C0049,21,6,1015,4,4,Monthly,1
C0050,42,37,538,7,2,Yearly,1
C0051,31,57,3842,6,0,Monthly,1
C0052,67,33,1386,8,4,Monthly,1
C0053,26,53,3344,7,2,Yearly,1
C0054,43,22,2704,1,3,Yearly,1
C0055,19,21,1598,9,4,Monthly,1
C0056,37,6,2323,3,4,Monthly,1
C0057,45,6,3701,5,1,Monthly,1
C0058,64,55,3655,1,3,Monthly,1
C0059,24,48,3593,6,0,Yearly,1
C0060,61,4,4030,2,5,Yearly,1
C0061,25,30,4278,2,2,Monthly,1
C0062,64,11,3396,10,1,Monthly,1
C0063,52,30,3953,1,2,Yearly,0
C0064,31,31,4011,10,0,Monthly,1
C0065,34,24,1488,7,0,Monthly,1
C0066,53,55,4616,5,4,Monthly,1
C0067,67,9,4526,0,0,Monthly,1
C0068,57,55,4679,0,2,Yearly,0
C0069,21,3,2182,6,3,Monthly,1
C0070,19,51,4463,7,3,Monthly,1
C0071,23,31,1433,4,4,Monthly,1
C0072,59,40,4098,10,5,Yearly,1
C0073,21,37,3733,4,2,Monthly,1
C0074,46,36,2480,3,2,Monthly,0
C0075,35,24,2355,5,0,Monthly,0
C0076,43,31,3556,5,2,Monthly,1
C0077,61,6,1292,2,1,Monthly,1
C0078,51,2,1291,8,5,Monthly,1
C0079,27,20,2309,10,0,Monthly,0
C0080,53,28,2755,6,1,Monthly,1
C0081,31,11,4110,0,4,Yearly,1
C0082,48,4,2107,6,3,Monthly,1
C0083,65,15,1484,4,4,Monthly,1
C0084,32,6,4176,4,3,Monthly,1
C0085,25,54,3880,1,4,Yearly,1
C0086,31,49,1019,3,2,Monthly,1
C0087,40,30,1090,5,1,Yearly,1
C0088,57,56,1550,9,3,Yearly,0
C0089,38,38,4133,10,0,Monthly,1
C0090,33,51,4944,6,1,Yearly,0
C0091,62,57,1459,10,0,Monthly,1
C0092,35,2,1192,4,1,Monthly,1
C0093,64,15,4399,8,1,Yearly,0
C0094,41,11,4973,2,4,Yearly,1
C0095,43,8,3446,0,3,Monthly,1
C0096,42,26,1026,3,3,Monthly,1
C0097,62,51,3724,8,1,Monthly,1
C0098,58,45,2753,3,2,Yearly,0
C0099,46,44,3844,1,2,Monthly,0
C0100,32,5,4465,9,0,Monthly,1
C0101,62,6,2375,4,0,Monthly,0
C0102,18,26,2263,2,4,Monthly,1
C0103,42,54,1020,8,1,Yearly,1
C0104,24,4,1516,3,0,Monthly,1
C0105,26,19,616,5,0,Yearly,0
C0106,41,20,2933,1,5,Monthly,1
C0107,18,33,1083,5,1,Yearly,0
C0108,61,20,894,2,4,Monthly,1
C0109,25,49,4288,8,0,Monthly,1
C0110,41,12,3268,10,4,Monthly,1
C0111,28,47,4667,1,3,Monthly,1
